Timestamp,Left Pupil,Right Pupil
15:03:33.161764,,
15:03:33.343309,,
15:03:33.510971,,
15:03:33.683892,,
15:03:33.836500,,
15:03:33.974735,,
15:03:34.132612,,
15:03:34.306118,,
15:03:34.491987,,
15:03:34.691247,,
15:03:34.847841,,
15:03:35.004965,,
15:03:35.197961,,
15:03:35.364627,,
15:03:35.553093,,
15:03:35.706831,,
15:03:35.861222,,
15:03:36.049002,,
15:03:36.254188,,
15:03:36.407668,,
15:03:36.558904,,
15:03:36.715821,,
15:03:36.886331,,
15:03:37.051847,,
15:03:37.225719,,
15:03:37.397408,,
15:03:37.564887,,
15:03:37.738727,,
15:03:37.895905,,
15:03:38.066433,,
15:03:38.233960,,
15:03:38.390742,,
15:03:38.564076,"(177, 158)","(244, 158)"
15:03:38.707999,,
15:03:38.873256,,
15:03:39.058728,,
15:03:39.263311,,
15:03:39.442698,,
15:03:39.656609,,
15:03:39.853731,,
15:03:40.041088,,
15:03:40.240743,,
15:03:40.397796,,
15:03:40.567902,,
15:03:40.707919,,
15:03:40.861038,,
15:03:41.018926,,
15:03:41.201925,,
15:03:41.366336,,
15:03:41.551954,,
15:03:41.737812,,
15:03:41.941072,,
15:03:42.145117,,
15:03:42.329981,,
15:03:42.515963,,
15:03:42.702455,,
15:03:42.902916,,
15:03:43.103998,,
15:03:43.289057,,
15:03:43.497253,,
15:03:43.699564,,
15:03:43.870384,,
15:03:44.033979,,
15:03:44.192768,,
15:03:44.347164,,
15:03:44.524629,"(177, 158)","(244, 158)"
15:03:44.691432,,
15:03:44.863349,,
15:03:45.021450,"(177, 158)","(245, 158)"
15:03:45.195834,,
15:03:45.365467,,
15:03:45.566997,,
15:03:45.756157,,
15:03:45.940542,,
15:03:46.113960,,
15:03:46.266692,,
15:03:46.453063,,
15:03:46.651626,,
15:03:46.822074,,
15:03:47.025004,,
15:03:47.209355,,
15:03:47.374154,,
15:03:47.528890,,
15:03:47.706894,,
15:03:47.874333,,
15:03:48.031365,,
15:03:48.201534,,
15:03:48.355655,,
15:03:48.545745,,
15:03:48.716951,,
15:03:48.869591,,
15:03:49.067408,,
15:03:49.211135,,
15:03:49.350654,,
15:03:49.530892,,
15:03:49.706226,,
15:03:49.872816,,
15:03:50.032095,"(178, 156)","(243, 155)"
15:03:50.202665,"(178, 155)","(242, 155)"
15:03:50.373604,"(177, 154)","(242, 154)"
15:03:50.544773,"(175, 155)","(243, 154)"
15:03:50.699653,"(177, 155)","(243, 155)"
15:03:50.871385,"(177, 154)","(242, 155)"
15:03:51.040284,"(178, 155)","(243, 154)"
15:03:51.227887,"(178, 155)","(242, 155)"
15:03:51.397501,"(178, 154)","(243, 154)"
15:03:51.560231,"(178, 154)","(242, 154)"
15:03:51.720823,,
15:03:51.907045,,
15:03:52.079162,"(176, 156)","(241, 156)"
15:03:52.250957,"(177, 155)","(241, 156)"
15:03:52.421289,"(176, 156)","(241, 156)"
15:03:52.590263,"(177, 156)","(242, 155)"
15:03:52.760050,,
15:03:52.900192,"(177, 154)","(242, 154)"
15:03:53.068896,"(177, 154)","(242, 154)"
15:03:53.217863,,
15:03:53.380604,,
15:03:53.531261,"(176, 158)","(243, 158)"
15:03:53.707378,,
15:03:53.861515,,
15:03:54.029165,,
15:03:54.188764,,
15:03:54.370954,"(177, 157)","(242, 156)"
15:03:54.540158,,
15:03:54.708803,,
