Timestamp,Angry,Disgust,Fear,Happy,Sad,Surprise,Neutral
1690920880.757163,0.11,0.0,0.07,0.0,0.34,0.08,0.4
1690920881.006166,0.06,0.0,0.12,0.0,0.27,0.05,0.5
1690920881.245168,0.22,0.0,0.05,0.0,0.28,0.02,0.42
1690920881.478166,0.11,0.0,0.21,0.0,0.26,0.08,0.34
1690920881.713169,0.1,0.0,0.05,0.0,0.17,0.04,0.64
1690920881.957171,0.11,0.0,0.06,0.0,0.22,0.06,0.54
1690920882.197174,0.12,0.0,0.07,0.0,0.13,0.11,0.57
1690920882.429174,0.1,0.0,0.09,0.0,0.2,0.06,0.54
1690920882.668175,0.11,0.0,0.08,0.0,0.21,0.07,0.53
1690920882.906178,0.12,0.0,0.08,0.0,0.2,0.05,0.56
1690920883.145182,0.17,0.0,0.06,0.0,0.22,0.03,0.51
1690920883.390181,0.09,0.0,0.12,0.0,0.25,0.06,0.48
1690920883.628185,0.12,0.0,0.08,0.0,0.35,0.11,0.33
1690920883.880186,0.1,0.0,0.05,0.0,0.23,0.05,0.55
1690920884.145187,0.06,0.0,0.07,0.0,0.17,0.04,0.65
1690920884.402709,0.07,0.0,0.06,0.0,0.13,0.02,0.71
1690920884.641714,0.15,0.0,0.13,0.0,0.17,0.12,0.42
1690920884.907712,0.08,0.0,0.06,0.0,0.24,0.03,0.58
1690920885.157717,0.26,0.01,0.08,0.01,0.33,0.13,0.2
1690920885.418716,0.08,0.01,0.08,0.01,0.44,0.06,0.33
1690920885.660717,0.13,0.01,0.09,0.0,0.49,0.04,0.24
1690920885.92272,0.15,0.0,0.15,0.0,0.25,0.06,0.4
1690920886.167719,0.12,0.01,0.07,0.0,0.45,0.05,0.3
1690920886.417728,0.08,0.01,0.07,0.0,0.45,0.03,0.35
