timestamps,TP9,AF7,AF8,TP10,Right AUX
1691171863.284,-32.715,114.258,-18.555,-22.461,0.000
1691171863.288,-51.758,-749.512,-26.367,-49.316,0.000
1691171863.292,-56.641,-1000.000,-31.250,-43.457,0.000
1691171863.296,-56.641,-212.891,-22.949,-7.812,0.000
1691171863.300,-52.734,50.781,-26.855,-20.508,0.000
1691171863.304,-57.129,-802.734,-41.016,-42.480,0.000
1691171863.308,-61.523,-1000.000,-43.945,-39.062,0.000
1691171863.312,-46.875,-533.691,-40.039,-23.438,0.000
1691171863.316,-31.738,290.527,-33.691,-11.230,0.000
1691171863.320,-23.438,-271.973,-30.762,-31.250,0.000
1691171863.324,-22.949,-1000.000,-34.668,-42.480,0.000
1691171863.327,-19.043,-699.707,-25.391,-28.320,0.000
1691171863.331,-16.602,217.285,-17.090,-5.371,0.000
1691171863.335,-39.062,-315.430,-32.715,-25.879,0.000
1691171863.339,-62.500,-1000.000,-41.992,-56.641,0.000
1691171863.343,-53.223,-820.801,-28.320,-33.203,0.000
1691171863.347,-40.039,70.801,-24.902,-22.949,0.000
1691171863.351,-30.762,-137.207,-39.062,-38.086,0.000
1691171863.355,-22.949,-1000.000,-39.062,-37.109,0.000
1691171863.359,-14.160,-996.094,-25.391,-40.039,0.000
1691171863.363,-13.184,-120.117,-23.926,-23.438,0.000
1691171863.366,-41.992,63.477,-35.156,-19.531,0.000
1691171863.370,-59.082,-791.016,-36.621,-42.480,0.000
1691171863.374,-62.012,-1000.000,-29.785,-42.969,0.000
1691171863.378,-43.457,-419.922,-20.508,-17.090,0.000
1691171863.382,-18.555,108.887,-26.367,4.395,0.000
1691171863.386,-12.207,-375.488,-36.621,-19.531,0.000
1691171863.390,17.578,-934.570,-38.574,-37.598,0.000
1691171863.394,35.156,-662.598,-32.227,-5.371,0.000
1691171863.398,-0.977,-107.910,-19.531,1.953,0.000
1691171863.402,-20.996,-391.602,-21.484,-12.695,0.000
1691171863.406,-22.949,-811.523,-30.762,-5.371,0.000
1691171863.409,-0.488,-826.172,-34.180,6.836,0.000
1691171863.413,10.254,-524.902,-33.203,20.020,0.000
1691171863.417,-1.953,-209.961,-36.133,13.672,0.000
1691171863.421,13.184,-476.562,-37.109,11.719,0.000
1691171863.425,17.578,-951.172,-37.109,19.531,0.000
1691171863.429,10.254,-575.195,-34.668,35.645,0.000
1691171863.433,46.387,106.934,-41.504,50.781,0.000
1691171863.437,37.109,-294.922,-46.875,24.414,0.000
1691171863.441,-7.812,-961.426,-35.645,1.465,0.000
1691171863.445,20.508,-786.621,-31.738,31.250,0.000
1691171863.449,37.109,-32.715,-42.969,52.246,0.000
1691171863.452,14.160,-178.711,-45.898,32.715,0.000
1691171863.456,20.996,-933.105,-34.180,20.508,0.000
1691171863.460,22.949,-839.355,-32.227,27.832,0.000
1691171863.464,6.836,196.289,-33.203,42.480,0.000
1691171863.468,10.742,40.039,-35.156,23.438,0.000
1691171863.472,27.832,-913.574,-40.039,12.695,0.000
1691171863.476,8.789,-860.840,-36.133,20.020,0.000
1691171863.480,-11.719,73.730,-35.156,57.129,0.000
1691171863.484,18.066,371.094,-40.039,46.875,0.000
1691171863.488,5.859,-574.707,-39.062,8.789,0.000
1691171863.492,18.066,-1000.000,-32.715,2.930,0.000
1691171863.495,20.996,-369.629,-34.180,12.695,0.000
1691171863.499,-6.348,386.719,-45.898,23.438,0.000
1691171863.503,-11.719,-488.770,-50.781,-0.977,0.000
1691171863.507,-5.371,-1000.000,-45.898,-6.348,0.000
1691171863.511,20.996,-386.719,-39.062,3.418,0.000
1691171863.515,6.348,348.145,-31.738,20.508,0.000
1691171863.519,-23.926,-187.988,-33.203,3.906,0.000
1691171863.523,-8.789,-959.473,-37.109,-12.207,0.000
1691171863.527,-28.809,-887.695,-42.480,-1.465,0.000
1691171863.531,-20.996,-108.398,-40.527,6.836,0.000
1691171863.534,-5.371,2.930,-38.574,0.488,0.000
1691171863.538,-32.715,-761.719,-34.180,-9.277,0.000
1691171863.542,-6.348,-1000.000,-29.297,1.953,0.000
1691171863.546,34.668,-429.199,-38.574,21.973,0.000
1691171863.550,-12.207,-307.129,-43.457,12.695,0.000
1691171863.554,-71.289,-569.336,-43.945,-38.574,0.000
1691171863.558,-34.180,-736.328,-50.293,-40.039,0.000
1691171863.562,23.438,-380.371,-41.504,17.090,0.000
1691171863.566,38.574,372.559,-30.762,32.227,0.000
1691171863.570,15.137,72.754,-39.062,2.441,0.000
1691171863.574,-11.719,-633.301,-44.922,-16.602,0.000
1691171863.577,-13.672,-607.910,-35.645,10.742,0.000
1691171863.581,13.184,194.824,-31.738,38.086,0.000
1691171863.585,37.598,21.484,-41.992,12.207,0.000
1691171863.589,17.578,-762.695,-42.969,-4.883,0.000
1691171863.593,2.441,-1000.000,-34.668,17.578,0.000
1691171863.597,2.930,-166.504,-30.762,44.922,0.000
1691171863.601,-6.836,580.566,-37.109,17.090,0.000
1691171863.605,-12.207,-256.836,-44.922,-23.438,0.000
1691171863.609,-16.113,-739.258,-38.086,-3.418,0.000
1691171863.613,14.160,91.309,-35.645,36.133,0.000
1691171863.617,1.953,504.883,-45.898,10.254,0.000
1691171863.620,5.859,-419.434,-43.945,-22.461,0.000
1691171863.624,4.883,-881.348,-43.457,-20.996,0.000
1691171863.628,-12.695,-107.422,-42.480,9.766,0.000
1691171863.632,7.324,453.613,-40.039,20.508,0.000
1691171863.636,-12.207,-349.609,-40.527,-4.395,0.000
1691171863.640,-32.715,-1000.000,-39.062,-8.301,0.000
1691171863.644,-4.395,-489.258,-41.016,-3.418,0.000
1691171863.648,22.949,552.246,-38.086,11.719,0.000
1691171863.652,-14.160,125.000,-43.945,7.324,0.000
1691171863.656,-26.367,-718.262,-52.734,-2.441,0.000
1691171863.660,29.297,-499.512,-44.434,12.695,0.000
1691171863.663,55.176,368.652,-40.039,28.320,0.000
1691171863.667,-3.906,295.898,-41.504,-7.324,0.000
1691171863.671,-31.738,-543.945,-43.945,-42.480,0.000
1691171863.675,-33.203,-716.309,-44.922,-35.156,0.000
1691171863.679,-26.367,-216.309,-46.387,-11.719,0.000
1691171863.683,-9.277,-73.730,-41.016,14.648,0.000
1691171863.687,-0.977,-576.172,-47.852,24.414,0.000
1691171863.691,-0.977,-916.016,-54.688,1.465,0.000
1691171863.695,-27.344,-591.309,-46.387,-27.832,0.000
1691171863.699,-21.973,-273.926,-46.875,-0.488,0.000
1691171863.702,-23.926,-633.301,-50.293,-6.348,0.000
1691171863.706,-34.668,-749.023,-55.176,-20.020,0.000
1691171863.710,-18.066,-844.727,-48.340,21.484,0.000
1691171863.714,-16.113,-147.949,-28.809,21.973,0.000
1691171863.718,-30.762,45.410,-33.203,-33.691,0.000
1691171863.722,-48.828,-695.312,-40.039,-72.754,0.000
1691171863.726,-41.992,-1000.000,-41.504,-42.480,0.000
1691171863.730,-3.906,-574.707,-44.434,8.789,0.000
1691171863.734,7.324,116.699,-47.363,0.000,0.000
1691171863.738,-21.484,-435.547,-48.828,-26.855,0.000
1691171863.742,-25.879,-1000.000,-49.805,-33.203,0.000
1691171863.745,-22.461,-486.328,-46.387,-8.301,0.000
1691171863.749,-49.316,114.746,-53.223,-4.395,0.000
1691171863.753,-65.918,-393.555,-62.500,-38.086,0.000
